*THIS IS THE DATA TABLE FOR THE GAME
*A STAR IN THE FIRST COLUMN IS A COMMENT
*THE FIRST SECTION IS THE TRAVEL TABLE
*THE SECOND SECTION IS THE LOCATION DATA
*THE THIRD SECTION IS THE DATA ON MOVEABLE OBJECTS
*THE FOURTH SECTION IS THE DATA ON FIXED OBJECTS
*THE SECTIONS ARE SEPARATED BY 9999 IN THE FIRST FOUR COLUMNS
*THE TRAVEL TABLE WORKS AS FOLLOWS:
*  IT APPLIES ONLY TO "GO" OR TO WORDS WHICH TRANSLATE TO GO,
*  SUCH AS RUN. IT DOES NOT APPLY TO SWIM OR JUMP OR CRAWL OR STAND
*  OR SIT. THESE ARE HANDLED BY SPECIAL CODE.
*AN ENTEY BEGINNING IN COLUMN TWO IS A "FROM" LOCATION,
*WHICH MUST OCCUR IN ORDER.
*THE NEXT ENTRY 
*MAY BE BLANK OR C FOR CAREFULLY, S FOR SLOWLY, OR Q FOR QUICKLY
*THE NEXT ENTRY IS A DIRECTION: N,NW,E,...NW,U,D OR BLANK
*   THESE TWO ARE COMBINED IN THE TABLE IN THE FORM:
*      C*16+S*32+Q*64+DIR (WHERE 1<=DIR<=10)
*THE NEXT ENTRY INDICATES WHAT TYPE OF CONDITION:
*1) MEANS NEXT IS LOCATION;UNCONDITIONAL MOTION
*2) MEANS NEXT IS A MESSAGE NUMBER; STAY WHERE HE IS
*3) MEANS NEXT IS VARIABLE FOR COMPUTED GOTO
*4) MEANS HE DIED. NEXT IS THE MESSAGE.
*5) MEANS HE MUST BE DEAD, AND HAVE BEEN THERE BEFORE.
*6) IS SAME AS 2 EXCEPT 512 IS ADDED TO MESSAGE NUMBER
*7-15 ARE UNUSED
*16-31) MEANS NEXT IS NEWLOC;GO WITH (NUMBER-15)*6 % CHANCE
*    THESE TWO ARE COMBINED IN THE FORM 512*(FIRST WORD)+SECOND WORD
*EACH LOC AND DIRECTION MAY HAVE SEVERAL POSSIBILITIES; THEY
*ARE TAKEN IN ORDER UNTIL SOMETHING SUCEEDS OR THE END IS REACHED,
*IN WHICH CASE NOTHING AT ALL HAPPENS.
*IF A DIRECTION IS MISSING, HE GETS A "YOU CAN'T POSSIBLY GO THERE"
*MESSAGE
*
    1   D      2     30
        S      2     30
        U      1      2
        N      1      2
    2   D      1      1
        S      1      1
        U      1      3
        N      1      3
    3   D      1      4
        S      1      2
        N      1      4
    4   S      2     31
        U      2     31
        D      2     32
        NW     1      5
        NE     1     18
    5   SE     1      4
        N      1     19
        W      5      6
        W      2     47
        NW     2     61
        SW     2     61
    6   S      1      7
        E      5      5
        E      2     47
    7   N      1      8
        S      1      6
        E      1     10
        W      1      7
    8   N      1     11
        S     28      9
        S      1     12
        E      1      7
        W     22      9
        W      1     12
    9   N      1     10
        S      1     12
        E      1     11
        W     24      9
        W      1      8
   10   N      1      7
        S      1     10
        E      1      9
        W      1     15
   11   N      1      9
        S      1     12
        E      1      8
        W      1     11
   12   D      1     11
        E      1      9
        U      3      1
        U      2     33
   13   D  C   1     12
        D     24     12
        D      4     37
        U  C   1     14
        U     24     14
        U      4     37
   14   D  C   1     13
        D     20     13
        D      4     37
        U      2     34
   15   S      1     10
        N      5     17
        N      2     47
   16   N      2     47
        S      5      6
        S      2     47
        E      2     47
        W      5     15
        W      2     47
        NE     2     47
        SE     2     47
        NW     2     47
        SW     2     47
   17   N      1     57
        E      1     19
        S      5     15
        S      2     47
   18   SW     1      4
        NE     1     22
   19   NE C   1     21
        NE     5     21
        NE    20     21
        NE     4     38       
        W     23     17
        W      2     36
        SW    20     17
        SW    25      5
        SW     2     36
        S     24      5
        S      2     36
   20   W      1     57
        E      1     22
        U      1     52
   21   SW C   1     19
        SW     5     19
        SW    20     19
        SW     4     38
        E      1     26
   22   N      1     20
        S      1     18
        E      1     23
   23   E      1     24
        W      1     22
   24   W      1     23
        E      3      2
        E      2    118
   25   W      1     24
        E      1     98
   26   SW     1     21
        NE Q   1     27
        NE     5     27
        NE     2    130
   27   SW Q   1     26
        SW     5     26
        SW     2    130
        NE     1     46
        E      1     28
   28   W      1     27
        NE     1     29
        SE     1     30
   29   W      1     28
        E      1     37
        S      1     31
        N      1     45
   30   W      1     28
        E      1     31
        S      3      3
        S      2    129
   31   N      1     29
        W      1     30
        NE     1     32
   32   SW     1     31
        N      1     37
        SE     1     33
        E      1     38
        NE     1     38
   33   NW     1     32
        NE     1     34
        N      1     38
   34   SW     1     33
        N      1     35
        W      1     38
        NW     1     38
   35   S      1     34
        NW     1     36
        N      1     39
        W      1     38
        SW     1     38
   36   SW     1     37
        SE     1     35
        S      1     38
   37   W      1     29
        S      1     32
        NE     1     36
